Name,Registered users,Alexa Page Ranking
43 Things,3000000,12914
Academia.edu,18000000,824
About.me,5000000,1447
Advogato,13575,292620
aSmallWorld,550000,580060
Athlinks,139458,69170
Bebo,117000000,4169
Biip.no,430000,81916
BlackPlanet,20000000,7193
Busuu,12000000,4976
Buzznet,10000000,6955
CafeMom,1250000,1293
Care2,9961947,1930
CaringBridge,9500000,4279
Classmates.com,50000000,3284
CouchSurfing,2967421,2231
CozyCot,150000,36959
Cyworld,24000000,1616
delicious,8822921,436
DeviantArt,26000000,131
Dol2day,40200,385237
Draugiem.lv,2600466,2698
douban,46850000,106
Doximity,400000,27539
DXY.cn,2000000,8367
Elftown,185000,43277
Elixio,80000,545268
English  baby!,1600000,29585
eToro,2500000,1591
Facebook,1280000000,2
Fetlife,2701715,4131
FilmAffinity,250000,3151
Flixster,63000000,4012
Flickr,32000000,48
Focus.com,850000,12114
Fotki,1632565,8011
Fotolog,20000000,3168
Foursquare,20000000,817
Friends Reunited,19000000,29239
Friendster,90000000,12167
Fuelmyblog,50000,85547
Gaia Online,23523663,6277
GamerDNA,310000,59730
Gather.com,465000,3062
Gays.com,100000,224302
Geni.com,15000000,5958
GetGlue,2000000,3735
GirlsAskGuys,450000,4798
Goodreads,13000000,327
Goodwizz,110000,597008
Grono.net,2000000,395036
Habbo,268000000,15255
hi5,80000000,902
Hospitality Club,328629,99562
Hotlist,80000,155811
HR.com,194000,79591
Hub Culture,20000,152756
Ibibo,3500000,1143
Identi.ca,395695,7290
Indaba Music,350000,45039
Influenster,850000,8612
Instagram,300000000,41
IRC-Galleria,505000,36982
italki.com,500000,18956
Itsmy,2500000,770100
Jiepang,3000000,14790
Kiwibox,2400000,104563
LaiBhaari,250000,952782
Last.fm,30000000,772
Late Night Shots,20000,228888
LibraryThing,1300000,10800
Linkagoal,2000000,199233
LinkedIn,200000000,12
LiveJournal,17564977,115
Livemocha,5000000,4100
MillatFacebook,461200,236663
Minds,1000000,11191
mixi,24323160,232
MocoSpace,3000000,9882
Mubi,200000,18225
MyHeritage,30000000,3756
MyLife,51000000,1765
Nasza-klasa.pl,11000000,75145
Netlog,95000000,545
Nexopia,1400000,25241
Odnoklassniki,45000000,65
Open Diary,5000000,28134
Orkut,100000000,319
PatientsLikeMe,109587,69514
Partyflock,321125,16828
Plaxo,50000000,5310
Poolwo,12350,764227
Ravelry,3000000,2334
Renren,160000000,95
ReverbNation.com,500000,1806
Rooster Teeth,2581527,5336
Ryze,500000,71324
Sina Weibo,300000000,28
Skoob,420000,28449
Skyrock,22000000,710
Smartican,260000,26458
SocialVibe,435000,101364
Sonico.com,50000000,2676
SoundCloud,10000000,299
Spot.IM,250000,68016
Stage 32,175000,35382
Stickam,9000000,9201
Streetlife,1000000,18757 
StudiVZ,17000000,7080
StumbleUpon,20000000,146
Tagged,100000000,288
Taringa!,11000000,214
The Sphere,1300,1115305
TravBuddy.com,1588000,21523
Travellerspoint,310000,15275
Trombi.com,4400000,16227
Tuenti,12000000,16484
Tumblr,226950000,41
Twitter,645750000,8
Tylted,3000000,737508
Uplike,1050039,288
VK,249409900,38
Vampirefreaks.com,1931049,21052
Viadeo,35000000,435
WAYN,10000000,1367
WeeWorld,30000000,18317
We Heart It,20000000,899
weRead,4000000,305720
WriteAPrisoner.com,66000,228915
Xanga,27000000,3943
XING,11100000,270
Zoo.gr,890000,34577
Zooppa,60000,36373
